TRINITY_DN2810_c0_g1_i8	0.332853	2.845294	1.604799	0.168524	5.181301	1.06977
TRINITY_DN28597_c0_g1_i1	0.103646	1.505663	0.849009	0	0.213598	0
TRINITY_DN28597_c0_g1_i3	0	0.081756	0	0.649102	0.43305	0.203385
TRINITY_DN30482_c0_g1_i1	0	0.171461	0	0.066429	0	0.057899
TRINITY_DN30482_c0_g1_i2	0.10018	0.041578	0	0	0.14742	0
TRINITY_DN30540_c0_g1_i1	0	0.113824	0	0.2566	0.175783	0.164678
TRINITY_DN3078_c0_g2_i1	2.331363	3.956881	2.312991	3.899549	5.806056	4.421852
TRINITY_DN31252_c0_g1_i1	0.098584	0.057399	0.047728	0.129397	0.236355	0.110704
TRINITY_DN32616_c0_g1_i1	0.094682	0	0.131827	0.313877	0	0.216573
TRINITY_DN32616_c0_g1_i2	0	0.360629	0.109558	0.044985	0.164922	0
TRINITY_DN352_c0_g1_i13	0	7.829782	0	0	8.229594	8.238723
TRINITY_DN352_c0_g1_i15	1.102116	1.658273	0	1.627361	1.195577	0
TRINITY_DN352_c0_g1_i16	0.049221	0.469514	0.115186	0.338354	0.672106	0.662162
TRINITY_DN352_c0_g1_i2	0.773552	2.052364	3.213246	1.129187	0	0
TRINITY_DN352_c0_g1_i20	1.420278	0	1.981878	4.118204	0	0
TRINITY_DN352_c0_g1_i21	0.188053	0.56941	0.447414	0.334453	0.388022	0.573557
TRINITY_DN352_c0_g1_i23	0.248086	1.451252	1.410847	1.323787	1.277116	3.484652
TRINITY_DN352_c0_g1_i6	0.238933	0.512776	0.268594	0.718824	0.934445	0.381316
TRINITY_DN352_c0_g1_i7	0.450844	1.140895	0.125469	0.251128	0.939565	0.822008
TRINITY_DN3637_c1_g1_i3	0	0.850039	0.349937	0	0	0.078615
TRINITY_DN3637_c1_g1_i5	0.938666	1.490824	0.751284	1.386442	1.544356	1.465763
TRINITY_DN3637_c1_g1_i6	0.104124	0	0	0.034257	0.047584	0
TRINITY_DN3637_c1_g1_i7	0	0.047968	0.063084	0	0	0
TRINITY_DN3637_c1_g1_i9	0.222223	0.539654	0.341086	0.497855	0.202945	0
TRINITY_DN3691_c0_g1_i15	0.01017	0	0	0.014506	0	1.339335
TRINITY_DN3691_c0_g1_i16	0.188439	0.090489	0.025039	0.088556	0.153809	1.874666
TRINITY_DN3691_c0_g1_i19	0.431071	0	0	0	0	0.495021
TRINITY_DN3691_c0_g1_i21	0.452199	0.29251	0.14902	0.399636	0.336603	0.048648
TRINITY_DN3691_c0_g1_i24	0.080342	2.255436	0.671423	0.165815	0.20948	0.693936
TRINITY_DN3691_c0_g1_i25	0	0	0	0	0.325531	0.115588
TRINITY_DN3691_c0_g1_i28	0.145106	0.361527	0.11963	0.105203	0	0
TRINITY_DN3691_c0_g1_i29	0	0.652011	0.097503	0.779441	0.19292	0.417602
TRINITY_DN3691_c0_g1_i30	1.923144	0.405819	1.631909	0.442213	3.025923	3.862433
TRINITY_DN3752_c0_g1_i1	1.997542	0	2.109921	12.267995	0.919474	6.116101
