Family	GeneID	Condition	Replicate	Sample	TPM
ABC	TRINITY_DN1124_c0_g1	Dan	3	Dan_mg3	12.463777
ABC	TRINITY_DN1124_c0_g1	Mul	1	Mul_mg1	45.999145
ABC	TRINITY_DN1124_c0_g1	Mul	2	Mul_mg2	43.846283
ABC	TRINITY_DN1124_c0_g1	Mul	3	Mul_mg3	24.974984
ABC	TRINITY_DN1142_c1_g1	Dan	1	Dan_mg1	5.5363739999999995
ABC	TRINITY_DN1142_c1_g1	Dan	2	Dan_mg2	10.665141
ABC	TRINITY_DN1142_c1_g1	Dan	3	Dan_mg3	17.620508
ABC	TRINITY_DN1142_c1_g1	Mul	1	Mul_mg1	7.495091
ABC	TRINITY_DN1142_c1_g1	Mul	2	Mul_mg2	10.0774
ABC	TRINITY_DN1142_c1_g1	Mul	3	Mul_mg3	21.822042
ABC	TRINITY_DN11606_c0_g1	Dan	1	Dan_mg1	0.139163
ABC	TRINITY_DN11606_c0_g1	Dan	2	Dan_mg2	0.366317
ABC	TRINITY_DN11606_c0_g1	Dan	3	Dan_mg3	0.5196649999999999
ABC	TRINITY_DN11606_c0_g1	Mul	1	Mul_mg1	1.217252
ABC	TRINITY_DN11606_c0_g1	Mul	2	Mul_mg2	0.6884859999999999
ABC	TRINITY_DN11606_c0_g1	Mul	3	Mul_mg3	0.299051
ABC	TRINITY_DN11773_c0_g1	Dan	1	Dan_mg1	13.401411
ABC	TRINITY_DN11773_c0_g1	Dan	2	Dan_mg2	18.582588
ABC	TRINITY_DN11773_c0_g1	Dan	3	Dan_mg3	7.045577
ABC	TRINITY_DN11773_c0_g1	Mul	1	Mul_mg1	16.400432000000002
ABC	TRINITY_DN11773_c0_g1	Mul	2	Mul_mg2	14.730338
ABC	TRINITY_DN11773_c0_g1	Mul	3	Mul_mg3	19.068907
ABC	TRINITY_DN12134_c0_g1	Dan	1	Dan_mg1	0.2968
ABC	TRINITY_DN12134_c0_g1	Dan	2	Dan_mg2	0.344891
